Capacity,MonthlyPrice,StartDay,EndDay
1,600,2014-07-01,
1,400,2014-04-02,
1,400,2014-05-01,
5,2800,2014-03-01,2014-04-30
2,1500,2014-05-01,2014-06-30
4,1700,2014-04-01,
3,1300,2014-04-01,
15,6500,2014-05-01,2014-08-31
1,400,2014-05-01,
1,400,2014-05-01,
3,1400,2014-05-01,
18,7200,2014-05-01,
1,800,2014-06-01,
1,700,2014-05-01,2014-06-30
2,1250,2014-04-16,2014-06-02
1,600,2013-11-01,2014-05-31
8,4000,2014-06-02,2014-07-31
2,1300,2014-05-01,2014-10-31
4,2200,2014-05-01,
14,11875,2014-06-01,
2,1500,2014-05-01,2014-08-31
2,1500,2012-06-01,
3,1850,2014-04-09,2014-08-06
2,1100,2014-05-01,2014-09-30
1,625,2014-04-11,
1,1000,2014-02-14,
1,400,2014-05-01,
6,3600,2014-04-02,
2,950,2013-02-01,2014-05-31
4,2500,2013-06-01,2014-04-30
2,1200,2014-07-01,2014-08-31
1,950,2014-06-01,2014-08-31
4,3200,2014-04-01,2014-09-30
1,400,2014-03-27,2014-04-10
4,2600,2014-02-01,2014-04-08
11,5500,2014-05-01,
2,1200,2014-05-01,2014-07-02
1,600,2014-05-01,2014-07-31
1,800,2013-11-01,2014-04-30
1,700,2013-05-01,
2,900,2014-07-01,2014-08-31
2,1400,2014-04-02,
2,1500,2014-05-01,
2,1200,2014-05-01,
2,1500,2014-05-01,2014-10-31
2,900,2014-02-01,
1,400,2014-04-14,
2,900,2014-01-01,2014-06-30
2,1000,2013-12-01,2014-06-30
9,4500,2014-02-06,2014-04-30
4,2500,2013-08-01,
6,2900,2013-05-01,2014-05-31
1,600,2014-04-09,
2,1700,2014-02-14,2014-04-30
2,900,2014-07-01,
1,400,2014-05-01,2014-10-31
2,0,2014-04-15,2014-05-01
4,2500,2014-05-01,
4,3600,2014-05-01,
9,4950,2014-05-01,
2,1100,2014-05-12,
6,2700,2014-05-01,2014-08-31
16,350,2014-04-01,2014-08-31
2,1300,2012-10-01,
1,950,2014-06-01,2014-06-08
3,2000,2014-06-01,2014-06-30
8,3600,2014-07-08,
6,5400,2014-05-12,
4,2700,2013-09-01,
4,2600,2012-06-01,2014-05-31
4,2700,2012-07-01,2014-04-30
1,450,2014-04-02,
4,2700,2014-04-01,2014-04-30
4,2200,2014-06-01,2014-10-31
